secs,nsecs,latitude,longitude,altitude
1453942867,43703763,40.759138554,-73.981287722,58.686
1453942868,11723084,40.759204702,-73.981254951,60.374
1453942868,13665237,40.759204702,-73.981254951,60.374
1453942869,41746572,40.759267393,-73.981225944,62.089
1453942869,43682202,40.759267393,-73.981225944,62.089
1453942870,13771157,40.759328674,-73.981200204,63.811
1453942870,15665951,40.759328674,-73.981200204,63.811
1453942871,38744335,40.759383446,-73.981180168,65.366
1453942871,40664394,40.759383446,-73.981180168,65.366
1453942872,55741879,40.759436768,-73.981165472,66.682
1453942872,57667802,40.759436768,-73.981165472,66.682
1453942873,66770759,40.759489847,-73.981150114,67.937
1453942873,68678537,40.759489847,-73.981150114,67.937
1453942874,37744329,40.759539731,-73.981141418,68.876
1453942874,39692908,40.759539731,-73.981141418,68.876
1453942875,72978402,40.759578428,-73.981135855,69.67
1453942875,74658591,40.759578428,-73.981135855,69.67
1453942876,49737265,40.759602936,-73.981132931,70.522
1453942876,51686298,40.759602936,-73.981132931,70.522
1453942877,24722690,40.75962922,-73.981128629,71.25
1453942877,26716998,40.75962922,-73.981128629,71.25
1453942878,55742287,40.759652614,-73.981118914,72.225
1453942878,57647992,40.759652614,-73.981118914,72.225
1453942879,27725172,40.759667931,-73.981112442,73.18
1453942879,29702806,40.759667931,-73.981112442,73.18
1453942880,16716705,40.759675904,-73.981106076,74.366
1453942880,18657719,40.759675904,-73.981106076,74.366
1453942881,41778554,40.759701506,-73.981099616,75.632
1453942881,43721861,40.759701506,-73.981099616,75.632
1453942882,15739678,40.759716091,-73.981094399,76.737
1453942882,17631509,40.759716091,-73.981094399,76.737
1453942883,40723859,40.759726605,-73.981087406,77.251
1453942883,42626446,40.759726605,-73.981087406,77.251
1453942884,8717216,40.759729553,-73.981080607,77.616
1453942884,10619803,40.759729553,-73.981080607,77.616
1453942885,38888148,40.759729299,-73.981075807,78.089
1453942885,40596512,40.759729299,-73.981075807,78.089
1453942886,67795421,40.759731169,-73.981069722,78.654
1453942886,69584343,40.759731169,-73.981069722,78.654
1453942887,36689371,40.759734521,-73.981063421,79.216
1453942887,38633287,40.759734521,-73.981063421,79.216
1453942888,57612583,40.759734521,-73.981063421,79.216
1453942889,38705344,40.759742674,-73.981052161,80.802
1453942889,40575720,40.759742674,-73.981052161,80.802
1453942890,4681148,40.759744891,-73.981047402,81.944
1453942890,6572712,40.759744891,-73.981047402,81.944
1453942891,33673114,40.759749233,-73.981043046,83.071
1453942891,35583122,40.759749233,-73.981043046,83.071
1453942892,54668291,40.759761121,-73.981038391,84.288
1453942892,56569411,40.759761121,-73.981038391,84.288
1453942893,41647720,40.759764352,-73.981035967,85.404
1453942893,43558119,40.759764352,-73.981035967,85.404
1453942894,17623300,40.759763574,-73.981041321,86.71
1453942894,19561892,40.759763574,-73.981041321,86.71
1453942895,38821712,40.759764951,-73.981046173,87.955
1453942895,40532008,40.759764951,-73.981046173,87.955
1453942896,60808652,40.759767255,-73.981042396,89.256
1453942896,62577997,40.759767255,-73.981042396,89.256
1453942897,42629213,40.759774489,-73.981030235,90.554
1453942897,44530111,40.759774489,-73.981030235,90.554
1453942898,16659808,40.759801088,-73.981016862,90.994
1453942898,18540270,40.759801088,-73.981016862,90.994
1453942899,40614874,40.759826327,-73.981002935,91.399
1453942899,42529288,40.759826327,-73.981002935,91.399
1453942900,10608203,40.759842912,-73.98099518,91.654
1453942900,12527840,40.759842912,-73.98099518,91.654
1453942901,31609155,40.759820716,-73.980932071,90.945
1453942901,33516373,40.759820716,-73.980932071,90.945
1453942902,49594259,40.759806985,-73.980873625,90.406
1453942902,51536696,40.759806985,-73.980873625,90.406
1453942903,11596499,40.75978717,-73.980824367,89.585
1453942903,13521343,40.75978717,-73.980824367,89.585
1453942904,30557798,40.759793738,-73.980814708,nan
1453942904,32475370,40.759793738,-73.980814708,nan
1453942905,46593988,40.759793738,-73.980814708,89.692
1453942905,48509914,40.759793738,-73.980814708,89.692
1453942906,10591800,40.759793738,-73.980814708,nan
1453942906,12501643,40.759793738,-73.980814708,nan
1453942907,32567798,40.759793738,-73.980814708,89.692
1453942907,34506095,40.759793738,-73.980814708,89.692
1453942908,52537821,40.759793738,-73.980814708,89.692
1453942908,54506964,40.759793738,-73.980814708,89.692
1453942909,22562335,40.759793738,-73.980814708,89.692
1453942909,24482471,40.759793738,-73.980814708,89.692
1453942910,13568061,40.759793738,-73.980814708,89.692
1453942910,15484864,40.759793738,-73.980814708,89.692
1453942911,36548635,40.759793738,-73.980814708,89.692
1453942911,38476986,40.759793738,-73.980814708,89.692
1453942912,58556206,40.759793738,-73.980814708,89.692
1453942912,60477022,40.759793738,-73.980814708,89.692
1453942913,43546635,40.759793738,-73.980814708,89.692
1453942913,45457729,40.759793738,-73.980814708,89.692
1453942914,19764392,40.759793738,-73.980814708,89.692
1453942914,21490028,40.759793738,-73.980814708,89.692
1453942915,46500482,40.759793738,-73.980814708,89.692
1453942915,48459475,40.759793738,-73.980814708,89.692
1453942916,22602825,40.759793738,-73.980814708,89.692
1453942916,24470266,40.759793738,-73.980814708,89.692
1453942917,47563034,40.759793738,-73.980814708,89.692
1453942917,49508068,40.759793738,-73.980814708,89.692
1453942918,14688595,40.759793738,-73.980814708,89.692
1453942918,16570921,40.759793738,-73.980814708,89.692
1453942919,47523286,40.759793738,-73.980814708,89.692
1453942919,49452812,40.759793738,-73.980814708,89.692
1453942920,16621064,40.759793738,-73.980814708,89.692
1453942920,18467756,40.759793738,-73.980814708,89.692
1453942921,44484605,40.759793738,-73.980814708,89.692
1453942921,46423351,40.759793738,-73.980814708,89.692
1453942922,19496356,40.759793738,-73.980814708,89.692
1453942922,21415021,40.759793738,-73.980814708,89.692
1453942923,41506021,40.759793738,-73.980814708,89.692
1453942923,43410181,40.759793738,-73.980814708,89.692
1453942924,15466374,40.759793738,-73.980814708,89.692
1453942924,17404419,40.759793738,-73.980814708,89.692
1453942925,35754795,40.759793738,-73.980814708,89.692
1453942925,37467352,40.759793738,-73.980814708,89.692
1453942926,67468835,40.759793738,-73.980814708,89.692
1453942926,69408858,40.759793738,-73.980814708,89.692
1453942927,31453308,40.759793738,-73.980814708,89.692
1453942927,33417518,40.759793738,-73.980814708,89.692
1453942928,41610456,40.759793738,-73.980814708,89.692
1453942928,43374466,40.759793738,-73.980814708,89.692
1453942929,1650369,40.759793738,-73.980814708,89.692
1453942929,3387060,40.759793738,-73.980814708,89.692
1453942930,43459925,40.759793738,-73.980814708,89.692
1453942930,45393063,40.759793738,-73.980814708,89.692
1453942930,998457938,40.759793738,-73.980814708,89.692
1453942931,379447,40.759793738,-73.980814708,89.692
1453942932,3415819,40.759793738,-73.980814708,89.692
1453942932,5446514,40.759793738,-73.980814708,89.692
1453942933,9460210,40.759793738,-73.980814708,89.692
1453942933,11365116,40.759793738,-73.980814708,89.692
1453942934,19434141,40.759793738,-73.980814708,89.692
1453942934,21375649,40.759793738,-73.980814708,89.692
1453942935,33598513,40.759789262,-73.980810437,89.556
1453942935,35350452,40.759789262,-73.980810437,89.556
1453942936,48405156,40.75979452,-73.980802753,89.459
1453942936,50366378,40.75979452,-73.980802753,89.459
1453942937,13637345,40.759809666,-73.980793411,89.475
1453942937,15338083,40.759809666,-73.980793411,89.475
1453942938,28405798,40.759832539,-73.980776803,89.564
1453942938,30339778,40.759832539,-73.980776803,89.564
1453942939,42414593,40.759856677,-73.980749301,89.756
1453942939,44315027,40.759856677,-73.980749301,89.756
1453942940,5426492,40.75989339,-73.980732132,90.131
1453942940,7330058,40.75989339,-73.980732132,90.131
1453942941,20399236,40.75994381,-73.980712706,90.481
1453942941,22315008,40.75994381,-73.980712706,90.481
1453942942,32398407,40.759999082,-73.980678466,90.702
1453942942,34337693,40.759999082,-73.980678466,90.702
1453942943,49486139,40.760062392,-73.980640089,91.057
1453942943,51374519,40.760062392,-73.980640089,91.057
1453942944,18397122,40.76012555,-73.980592328,91.448
1453942944,20296006,40.76012555,-73.980592328,91.448
1453942945,32375426,40.760189241,-73.980549968,91.88
1453942945,34293234,40.760189241,-73.980549968,91.88
1453942946,39358853,40.760257959,-73.980517577,92.49
1453942946,41287562,40.760257959,-73.980517577,92.49
1453942946,999341294,40.760330787,-73.980480557,93.036
1453942947,1274728,40.760330787,-73.980480557,93.036
1453942948,5374043,40.760404639,-73.980434411,93.272
1453942948,7284048,40.760404639,-73.980434411,93.272
1453942949,13361070,40.760469111,-73.980371055,93.616
1453942949,15286675,40.760469111,-73.980371055,93.616
1453942950,37362533,40.760540865,-73.980320912,93.879
1453942950,39274175,40.760540865,-73.980320912,93.879
1453942951,44390628,40.760626764,-73.98029365,94.31
1453942951,46283070,40.760626764,-73.98029365,94.31
1453942952,4319695,40.760702827,-73.980279459,94.317
1453942952,6259299,40.760702827,-73.980279459,94.317
1453942953,18352255,40.76076665,-73.980255046,94.281
1453942953,20223799,40.76076665,-73.980255046,94.281
1453942954,32390515,40.76081223,-73.980219982,94.78
1453942954,34307427,40.76081223,-73.980219982,94.78
1453942955,47314554,40.760853212,-73.980186873,95.418
1453942955,49241894,40.760853212,-73.980186873,95.418
1453942956,10369959,40.760893784,-73.980160167,96.041
1453942956,12265873,40.760893784,-73.980160167,96.041
1453942957,30317418,40.760931237,-73.980132378,96.647
1453942957,32259491,40.760931237,-73.980132378,96.647
1453942958,52309805,40.760975331,-73.980094642,96.955
1453942958,54232975,40.760975331,-73.980094642,96.955
1453942959,10314189,40.761011527,-73.980052841,97.339
1453942959,12263629,40.761011527,-73.980052841,97.339
1453942960,44404070,40.761059437,-73.980002066,97.381
1453942960,46256459,40.761059437,-73.980002066,97.381
1453942961,3392681,40.761113473,-73.979945033,97.401
1453942961,5389696,40.761113473,-73.979945033,97.401
1453942962,12270971,40.761176005,-73.979893041,97.53
1453942962,14223470,40.761176005,-73.979893041,97.53
1453942963,23312728,40.76125229,-73.979857665,97.665
1453942963,25229748,40.76125229,-73.979857665,97.665
1453942964,36395964,40.761343696,-73.979837747,97.875
1453942964,38380990,40.761343696,-73.979837747,97.875
1453942965,43273711,40.76143183,-73.979818523,98.153
1453942965,45169636,40.76143183,-73.979818523,98.153
1453942966,2281435,40.761504688,-73.97979358,98.475
1453942966,4215974,40.761504688,-73.97979358,98.475
1453942967,10348624,40.761569518,-73.979763318,nan
1453942967,12280323,40.761569518,-73.979763318,nan
1453942968,17262630,40.761633959,-73.979725322,nan
1453942968,19210621,40.761633959,-73.979725322,nan
1453942969,27220370,40.761696522,-73.979681476,98.637
1453942969,29167274,40.761696522,-73.979681476,98.637
1453942970,40333994,40.761736092,-73.979636481,98.026
1453942970,42196549,40.761736092,-73.979636481,98.026
1453942970,999361624,40.761783172,-73.979590877,97.466
1453942971,1347768,40.761783172,-73.979590877,97.466
1453942972,9271160,40.761806634,-73.979566106,97.647
1453942972,11193019,40.761806634,-73.979566106,97.647
1453942973,22395948,40.761830258,-73.979544949,97.909
1453942973,24162811,40.761830258,-73.979544949,97.909
1453942974,32253941,40.7618447,-73.979528864,nan
1453942974,34181237,40.7618447,-73.979528864,nan
1453942975,41225815,40.7618527,-73.979509071,98.342
1453942975,43141348,40.7618527,-73.979509071,98.342
1453942975,999248289,40.761854185,-73.979485045,98.642
1453942976,1164153,40.761854185,-73.979485045,98.642
1453942977,9287580,40.761862495,-73.979458603,98.642
1453942977,11254740,40.761862495,-73.979458603,98.642
1453942978,15181316,40.761862495,-73.979458603,98.642
1453942978,17182926,40.761862495,-73.979458603,98.642
1453942979,29291360,40.76185644,-73.979441384,98.799
1453942979,31116736,40.76185644,-73.979441384,98.799
1453942980,46325528,40.761845547,-73.979423643,99.148
1453942980,48154793,40.761845547,-73.979423643,99.148
1453942981,4231159,40.761835442,-73.979404803,99.548
1453942981,6115138,40.761835442,-73.979404803,99.548
1453942982,18261980,40.761826172,-73.979387943,100.242
1453942982,20151957,40.761826172,-73.979387943,100.242
1453942983,32225834,40.761815406,-73.979373515,100.826
1453942983,34138124,40.761815406,-73.979373515,100.826
1453942984,49184663,40.761802491,-73.979359187,101.562
1453942984,51129385,40.761802491,-73.979359187,101.562
1453942985,7210496,40.761782757,-73.979353188,101.841
1453942985,9116189,40.761782757,-73.979353188,101.841
1453942986,20162648,40.761771339,-73.979338966,102.468
1453942986,22102546,40.761771339,-73.979338966,102.468
1453942987,31102152,40.761771339,-73.979338966,102.468
1453942988,34152898,40.761753466,-73.979368703,nan
1453942988,36023621,40.761753466,-73.979368703,nan
1453942989,38201361,40.761751361,-73.979400149,nan
1453942989,40107140,40.761751361,-73.979400149,nan
1453942989,999186712,40.761759637,-73.979424797,102.801
1453942990,1090160,40.761759637,-73.979424797,102.801
1453942991,8144376,40.761780667,-73.979438035,102.32
1453942991,10101491,40.761780667,-73.979438035,102.32
1453942992,18184291,40.761823247,-73.979428548,nan
1453942992,20170981,40.761823247,-73.979428548,nan
1453942993,30161179,40.761879495,-73.97941229,102.114
1453942993,32066225,40.761879495,-73.97941229,102.114
1453942994,50181115,40.761926992,-73.979399033,102.025
1453942994,52023183,40.761926992,-73.979399033,102.025
